"","gene_id","p_adj"
"122","ENSG00000267073.1","0.87456536072757"
"123","ENSG00000205922.4","0.802417993626597"
"124","ENSG00000130270.12","3.01839030374193e-06"
"125","ENSG00000267007.1",NA
"126","ENSG00000079313.7","2.83101331728993e-07"
"127","ENSG00000223244.1",NA
"128","ENSG00000267244.1","0.332666517902702"
"129","ENSG00000267125.1",NA
"130","ENSG00000129911.4","0.0762720154240657"
"131","ENSG00000267141.1","0.0757501024220709"
"132","ENSG00000261526.1","0.228971020787425"
"133","ENSG00000267232.1",NA
"134","ENSG00000129968.11","1.08829643071063e-27"
"135","ENSG00000227500.5","0.0183380344728702"
"136","ENSG00000213638.4","0.588795041171809"
"137","ENSG00000198683.2",NA
"138","ENSG00000133275.11","0.788352193462423"
"139","ENSG00000180846.4","0.536498905070325"
"140","ENSG00000133243.4","7.08820861951605e-41"
