"","gene_id","p_adj"
"124","ENSG00000130270.12","6.20807512297709e-06"
"125","ENSG00000267007.1",NA
"126","ENSG00000079313.7","5.67958180259343e-05"
"127","ENSG00000223244.1",NA
"128","ENSG00000267244.1","0.444630015768897"
"129","ENSG00000267125.1",NA
"130","ENSG00000129911.4","0.0099993944112952"
"131","ENSG00000267141.1","0.989060753322137"
"132","ENSG00000261526.1","0.965328372082486"
"133","ENSG00000267232.1",NA
"134","ENSG00000129968.11","1.7544745947721e-37"
"135","ENSG00000227500.5","0.965328372082486"
"136","ENSG00000213638.4","0.706922169077097"
"137","ENSG00000198683.2",NA
"138","ENSG00000133275.11","0.348916309600912"
"139","ENSG00000180846.4","0.747672609457513"
"140","ENSG00000133243.4","6.81178427544636e-36"
